song,spotifyid
Shankarabharanam - varaleela gana lola - Tyagaraja, 2oPcPCufWkac6D2wHcEb9T
Kurinji - Muddugare Yashoda - Annamacharya, 6lOoukpjSZ12SQdNzLei6X
Kurinji - pavanaja stuthipatra - Tyagaraja, 2pBoVoHn4A6m8ces7b00GB
madhyamaavati - Naadupai Balikeru - Tyagaraja, 4UdPRZ63GYEBXv9cdvRnone
Abheri - Paluku tenela talli - Annamacharya, 2F55gFGS1akP0KZgEEvTvs
Abheri - Nagumomu Ganaleni - Tyagaraja, 4UdPRZ63GYEBXv9cdvRLbL
Bilahari - Kanugontini - Tyagaraja, 4QtubalqXl9xuI3vPmwVob
Bilahari - dorakuna - Tyagaraja, 5b0zsFx3YeMaMDEdz38rfB
AnandaBhairavi - Neeke teliyakapoythe - Tyagaraja, 4UdPRZ63GYEBXv9cdvRLnone
AnandaBhairavi - Paluke Bangaramayena - Annamacharya, 4fDgkZ04oYJVbJ5wMHRUTa
